Week	Date	Player	Class	Spec	Role	Main/Alt	Item
8	April 7	Rfx	Warrior	Fury	Physical DPS	Main	Gauntlets of Martial Perfection
8	April 7	Vspades	Warrior	Fury	Physical DPS	Main	Pauldrons of the Fallen Defender
8	April 7	Vspades	Warrior	Fury	Physical DPS	Main	Dragonspine Trophy
9	April 14	Dommymommy	Druid	Restoration	Healer	Main	Pauldrons of the Fallen Defender
9	April 14	Dommymommy	Druid	Restoration	Healer	Main	Leggings of the Fallen Defender
9	April 14	Doomqt	Druid	Balance	Caster DPS	Main	Magtheridon's Head
9	April 14	Doomqt	Druid	Balance	Caster DPS	Main	Pauldrons of the Fallen Defender
9	April 14	Lebearjames	Druid	Feral (Bear)	Tank	Main	Leggings of the Fallen Defender
9	April 14	Skryt	Druid	Balance	Caster DPS	Alt	Magtheridon's Head
9	April 14	Blargn	Mage	Frost	Caster DPS	Main	Bloodmaw Magus-Blade
9	April 14	Hazi	Mage	Frost	Caster DPS	Main	Bloodmaw Magus-Blade
9	April 14	Lilark	Mage	Frost	Caster DPS	Main	Pauldrons of the Fallen Hero
9	April 14	Elusivegod	Paladin	Retribution	Physical DPS	Main	Leggings of the Fallen Champion
9	April 14	Elusivegod	Paladin	Retribution	Physical DPS	Main	Bladespire Warbands
9	April 14	Glzy	Paladin	Retribution	Physical DPS	Alt	Leggings of the Fallen Champion
9	April 14	Glzy	Paladin	Retribution	Physical DPS	Alt	Bladespire Warbands
9	April 14	Kalihiwai	Paladin	Holy	Healer	Main	Leggings of the Fallen Champion
9	April 14	Kalihiwai	Paladin	Holy	Healer	Main	Pauldrons of the Fallen Champion
9	April 14	Sleepyrat	Paladin	Holy	Healer	Main	Chestguard of the Fallen Champion
9	April 14	Subforfeet	Paladin	Holy	Healer	Main	Aldori Legacy Defender
9	April 14	Subforfeet	Paladin	Holy	Healer	Main	Leggings of the Fallen Champion
9	April 14	Bake	Shaman	Restoration	Healer	Alt	Aegis of the Vindicator
9	April 14	Barbatos	Shaman	Restoration	Healer	Main	Magtheridon's Head
9	April 14	Corr	Shaman	Enhancement	Physical DPS	Alt	Pauldrons of the Fallen Champion
9	April 14	Elektro	Shaman	Elemental	Caster DPS	Main	Soul-Eater's Handwraps
9	April 14	Gono	Shaman	Enhancement	Physical DPS	Alt	Pauldrons of the Fallen Champion
9	April 14	Massesto	Warlock	Affliction	Caster DPS	Alt	Chestguard of the Fallen Hero
9	April 14	Valiks	Warlock	Affliction	Caster DPS	Main	Karaborian Talisman
9	April 14	Valiks	Warlock	Affliction	Caster DPS	Main	Chestguard of the Fallen Hero
10	April 21	Zephleo	Druid	Balance	Caster DPS	Alt	Soul-Eater's Handwraps
10	April 21	Zephleo	Druid	Balance	Caster DPS	Alt	Leggings of the Fallen Defender
10	April 21	HotforSenpai	Priest	Holy	Healer	Main	Teeth of Gruul
10	April 21	Jestin	Shaman	Restoration	Healer	Main	Magtheridon's Head
10	April 21	Keefy	Shaman	Enhancement	Physical DPS	Alt	Pauldrons of the Fallen Champion
10	April 21	Dumpsterbob	Warlock	Affliction	Caster DPS	Main	Magtheridon's Head
10	April 21	Bugatti	Warrior	Protection	Tank	Main	Pauldrons of the Fallen Defender
10	April 21	Vspades	Warrior	Fury	Physical DPS	Main	Gauntlets of Martial Perfection
11	April 28	Capriciousxo	Druid	Balance	Caster DPS	Main	Chestguard of the Fallen Defender
11	April 28	Fishynethers	Druid	Restoration	Healer	Main	Chestguard of the Fallen Defender
11	April 28	Cash	Hunter	Beast Mastery	Physical DPS	Alt	Dragonspine Trophy
11	April 28	Glzy	Hunter	Beast Mastery	Physical DPS	Main	Pauldrons of the Fallen Hero
11	April 28	Glzy	Hunter	Beast Mastery	Physical DPS	Main	Chestguard of the Fallen Hero
11	April 28	Whappintime	Hunter	Beast Mastery	Physical DPS	Main	Pauldrons of the Fallen Hero
11	April 28	Hazi	Mage	Frost	Caster DPS	Main	Eredar Wand of Obliteration
11	April 28	Glzy	Paladin	Holy	Healer	Alt	Aldori Legacy Defender
11	April 28	Glzy	Paladin	Holy	Healer	Alt	Pauldrons of the Fallen Champion
11	April 28	Keefy	Paladin	Retribution	Physical DPS	Main	Chestguard of the Fallen Champion
11	April 28	Keefy	Paladin	Retribution	Physical DPS	Main	Pauldrons of the Fallen Champion
11	April 28	Subforfeet	Paladin	Holy	Healer	Main	Leggings of the Fallen Champion
11	April 28	Mac	Priest	Holy	Healer	Main	Magtheridon's Head
11	April 28	Keefy	Shaman	Enhancement	Physical DPS	Alt	Leggings of the Fallen Champion
11	April 28	Sleepyrat	Shaman	Enhancement	Physical DPS	Alt	Liar's Tongue Gloves
11	April 28	Tombradygoat	Shaman	Restoration	Healer	Main	Eye of Gruul
11	April 28	Daladed	Warlock	Affliction	Caster DPS	Alt	Magtheridon's Head
11	April 28	Dil	Warlock	Affliction	Caster DPS	Main	Eredar Wand of Obliteration
11	April 28	Jalisco	Warlock	Affliction	Caster DPS	Main	Magtheridon's Head
11	April 28	Xenodank	Warlock	Affliction	Caster DPS	Main	Leggings of the Fallen Hero
11	April 28	Yamz	Warlock	Affliction	Caster DPS	Main	Pauldrons of the Fallen Hero
11	April 28	Yaske	Warlock	Affliction	Caster DPS	Main	Collar of Cho'gall
12	May 5	HotforSenpai	Priest	Holy	Healer	Main	Eye of Gruul
12	May 5	Zephleo	Druid	Balance	Caster DPS	Alt	Magtheridon's Head
12	May 5	Kayotics	Warlock	Affliction	Caster DPS	Main	Pauldrons of the Fallen Hero
12	May 5	Koco	Warlock	Affliction	Caster DPS	Alt	Eredar Wand of Obliteration
12	May 5	Subforfeet	Paladin	Holy	Healer	Main	Leggings of the Fallen Champion
12	May 5	DIsrespect	Warrior	Fury	Physical DPS	Main	Chestguard of the Fallen Defender
12	May 5	Zephleo	Druid	Balance	Caster DPS	Alt	Pauldrons of the Fallen Defender
12	May 5	Bugatti	Druid	Feral (Bear)	Tank	Alt	Chestguard of the Fallen Champion
12	May 5	Valiks	Warlock	Affliction	Caster DPS	Main	Soul-Eater's Handwraps
12	May 5	Bungle	Druid	Restoration	Healer	Main	Glaive of the Pit
12	May 5	Bugatti	Druid	Feral (Bear)	Tank	Alt	Chestguard of the Fallen Hero
12	May 5	Koco	Warlock	Affliction	Caster DPS	Alt	Magtheridon's Head
12	May 5	Bugatti	Paladin	Holy	Healer	Alt	Chestguard of the Fallen Hero
12	May 5	Lebearjames	Druid	Feral (Bear)	Tank	Main	Crystalheart Pulse-Staff
12	May 5	Bugatti	Paladin	Holy	Healer	Alt	Terror Pit Girdle
12	May 5	Capriciousxo	Druid	Balance	Caster DPS	Main	Chestguard of the Fallen Defender
12	May 5	Bored	Mage	Frost	Caster DPS	Alt	Magtheridon's Head
